year,mileage_km,power_kw,objem_motoru,price_czk
2021,38939.0,124.0,2.5,860000.0
2014,224315.0,135.0,2.0,400000.0
2014,224315.0,135.0,2.0,400000.0
2014,195326.0,103.0,2.0,150000.0
2014,195326.0,103.0,2.0,150000.0
2015,178237.0,158.0,2.4,620000.0
2015,178237.0,158.0,2.4,620000.0
2016,97055.0,88.0,1.4,350000.0
2016,97055.0,88.0,1.4,350000.0
2022,156653.0,110.0,2.0,650000.0
2022,156653.0,110.0,2.0,650000.0
2015,187822.0,110.0,2.0,570000.0
2015,187822.0,110.0,2.0,570000.0
2014,184698.0,230.0,3.0,650000.0
2014,184698.0,230.0,3.0,650000.0
2010,115396.0,115.0,2.2,250000.0
2010,115396.0,115.0,2.2,250000.0
2025,7925.0,142.0,2.0,3362000.0
2025,7925.0,142.0,2.0,3362000.0
2013,197698.0,158.0,2.4,220000.0
2013,197698.0,158.0,2.4,220000.0
2014,158286.0,96.0,1.7,220000.0
2014,158286.0,96.0,1.7,220000.0
2018,138573.0,133.0,2.0,450000.0
2018,138573.0,133.0,2.0,450000.0
2018,130723.0,74.0,1.0,500000.0
2018,130723.0,74.0,1.0,500000.0
2020,62267.0,110.0,1.5,750000.0
2020,62267.0,110.0,1.5,750000.0
2025,8786.0,110.0,2.0,2722000.0
2025,8786.0,110.0,2.0,2722000.0
2011,105793.0,88.0,1.6,100000.0
2011,105793.0,88.0,1.6,100000.0
2010,176787.0,110.0,2.2,400000.0
2010,176787.0,110.0,2.2,400000.0
2016,158578.0,85.0,1.6,100000.0
2016,158578.0,85.0,1.6,100000.0
2012,148282.0,77.0,1.2,150000.0
2012,148282.0,77.0,1.2,150000.0
2018,119689.0,110.0,2.0,100000.0
2018,119689.0,110.0,2.0,100000.0
2012,73867.0,92.0,1.0,350000.0
2012,73867.0,92.0,1.0,350000.0
2010,136400.0,88.0,1.4,350000.0
2010,136400.0,88.0,1.4,350000.0
2014,165801.0,85.0,1.6,410000.0
2014,165801.0,85.0,1.6,410000.0
2019,185954.0,88.0,1.6,500000.0
2019,185954.0,88.0,1.6,500000.0
2020,174735.0,85.0,2.0,510000.0
2020,174735.0,85.0,2.0,510000.0
2011,157129.0,96.0,1.6,350000.0
2011,157129.0,96.0,1.6,350000.0
2015,111811.0,110.0,2.0,410000.0
2015,111811.0,110.0,2.0,410000.0
2008,201714.0,66.0,1.6,200000.0
2008,201714.0,66.0,1.6,200000.0
2008,120800.0,60.0,1.2,370000.0
2008,120800.0,60.0,1.2,370000.0
2024,8950.0,195.0,2.0,4800000.0
2024,8950.0,195.0,2.0,4800000.0
2013,160628.0,92.0,1.4,260000.0
2013,160628.0,92.0,1.4,260000.0
2019,97156.0,75.0,1.2,400000.0
2019,97156.0,75.0,1.2,400000.0
2015,120636.0,88.0,1.6,510000.0
2015,120636.0,88.0,1.6,510000.0
2008,129960.0,74.0,1.8,260000.0
2008,129960.0,74.0,1.8,260000.0
2016,158963.0,135.0,2.0,460000.0
2016,158963.0,135.0,2.0,460000.0
2006,234924.0,103.0,2.0,220000.0
2006,234924.0,103.0,2.0,220000.0
2018,140520.0,191.0,2.0,710000.0
2018,140520.0,191.0,2.0,710000.0
2010,175573.0,81.0,1.5,190000.0
2010,175573.0,81.0,1.5,190000.0
2013,126640.0,103.0,1.4,260000.0
2013,126640.0,103.0,1.4,260000.0
2018,118463.0,132.0,2.0,450000.0
2018,118463.0,132.0,2.0,450000.0
2012,177992.0,103.0,2.0,70000.0
2012,177992.0,103.0,2.0,70000.0
2017,247499.0,104.0,1.7,350000.0
2017,247499.0,104.0,1.7,350000.0
2009,262317.0,77.0,1.6,240000.0
2009,262317.0,77.0,1.6,240000.0
2013,163323.0,147.0,1.6,430000.0
2013,163323.0,147.0,1.6,430000.0
2015,119988.0,132.0,2.0,850000.0
2015,119988.0,132.0,2.0,850000.0
2020,43465.0,74.0,1.0,600000.0
2020,43465.0,74.0,1.0,600000.0
2014,176772.0,55.0,1.2,200000.0
2014,176772.0,55.0,1.2,200000.0
2017,88708.0,60.0,1.2,170000.0
2017,88708.0,60.0,1.2,170000.0
2013,113544.0,90.0,1.4,300000.0
2013,113544.0,90.0,1.4,300000.0
2015,91573.0,96.0,1.2,500000.0
2015,91573.0,96.0,1.2,500000.0
2016,214045.0,110.0,2.0,50000.0
2016,214045.0,110.0,2.0,50000.0
2016,97080.0,66.0,1.2,350000.0
2016,97080.0,66.0,1.2,350000.0
2010,197673.0,77.0,1.6,410000.0
2010,197673.0,77.0,1.6,410000.0
2015,94416.0,85.0,1.2,210000.0
2015,94416.0,85.0,1.2,210000.0
2017,283349.0,110.0,2.0,310000.0
2017,283349.0,110.0,2.0,310000.0
2019,89314.0,110.0,1.5,440000.0
2019,89314.0,110.0,1.5,440000.0
2008,175221.0,82.0,1.6,140000.0
2008,175221.0,82.0,1.6,140000.0
2019,90458.0,140.0,2.0,200000.0
2019,90458.0,140.0,2.0,200000.0
2008,126110.0,73.0,1.6,350000.0
2008,126110.0,73.0,1.6,350000.0
2014,131158.0,88.0,1.2,350000.0
2014,131158.0,88.0,1.2,350000.0
2010,187727.0,149.0,2.0,330000.0
2010,187727.0,149.0,2.0,330000.0
2007,248176.0,103.0,2.0,170000.0
2007,248176.0,103.0,2.0,170000.0
2010,103406.0,77.0,1.2,200000.0
2010,103406.0,77.0,1.2,200000.0
2014,71435.0,77.0,1.2,400000.0
2014,71435.0,77.0,1.2,400000.0
2021,95233.0,85.0,2.0,510000.0
2021,95233.0,85.0,2.0,510000.0
2015,141057.0,66.0,0.9,400000.0
2015,141057.0,66.0,0.9,400000.0
2011,158759.0,90.0,1.4,440000.0
2011,158759.0,90.0,1.4,440000.0
2017,88982.0,130.0,1.6,360000.0
2017,88982.0,130.0,1.6,360000.0
2012,201493.0,130.0,2.0,230000.0
2012,201493.0,130.0,2.0,230000.0
2012,149438.0,70.0,1.6,230000.0
2012,149438.0,70.0,1.6,230000.0
2016,96653.0,132.0,2.0,150000.0
2016,96653.0,132.0,2.0,150000.0
2025,6257.0,195.0,2.0,2462000.0
2025,6257.0,195.0,2.0,2462000.0
2015,149935.0,110.0,2.0,350000.0
2015,149935.0,110.0,2.0,350000.0
2009,127723.0,70.0,1.4,230000.0
2009,127723.0,70.0,1.4,230000.0
2017,206571.0,100.0,1.6,300000.0
2017,206571.0,100.0,1.6,300000.0
2005,199523.0,200.0,3.5,360000.0
2005,199523.0,200.0,3.5,360000.0
2024,19198.0,82.0,1.0,450000.0
2024,19198.0,82.0,1.0,450000.0
2009,280707.0,77.0,1.9,160000.0
2009,280707.0,77.0,1.9,160000.0
2021,72539.0,118.0,1.5,300000.0
2021,72539.0,118.0,1.5,300000.0
2018,184061.0,140.0,2.0,400000.0
2018,184061.0,140.0,2.0,400000.0
2014,89801.0,85.0,1.2,260000.0
2014,89801.0,85.0,1.2,260000.0
2011,263892.0,191.0,3.6,190000.0
2011,263892.0,191.0,3.6,190000.0
2010,150629.0,103.0,2.0,350000.0
2010,150629.0,103.0,2.0,350000.0
2023,42060.0,82.0,1.0,140000.0
2023,42060.0,82.0,1.0,140000.0
2016,32141.0,66.0,0.9,310000.0
2016,32141.0,66.0,0.9,310000.0
2012,164611.0,77.0,1.6,150000.0
2012,164611.0,77.0,1.6,150000.0
2008,135997.0,88.0,1.6,310000.0
2008,135997.0,88.0,1.6,310000.0
2011,211790.0,77.0,1.6,250000.0
2011,211790.0,77.0,1.6,250000.0
2013,130536.0,77.0,1.2,260000.0
2013,130536.0,77.0,1.2,260000.0
2013,135492.0,103.0,1.4,250000.0
2013,135492.0,103.0,1.4,250000.0
2014,141392.0,77.0,1.2,500000.0
2014,141392.0,77.0,1.2,500000.0
2016,134695.0,140.0,2.0,300000.0
2016,134695.0,140.0,2.0,300000.0
2019,195104.0,140.0,2.0,400000.0
2019,195104.0,140.0,2.0,400000.0
2007,90270.0,110.0,1.9,410000.0
2007,90270.0,110.0,1.9,410000.0
2021,32370.0,120.0,1.5,460000.0
2021,32370.0,120.0,1.5,460000.0
2007,131831.0,110.0,2.0,250000.0
2007,131831.0,110.0,2.0,250000.0
2018,132095.0,110.0,1.4,500000.0
2018,132095.0,110.0,1.4,500000.0
2012,172444.0,73.0,1.3,210000.0
2012,172444.0,73.0,1.3,210000.0
2017,106528.0,84.0,1.6,250000.0
2017,106528.0,84.0,1.6,250000.0
2006,253910.0,66.0,1.6,120000.0
2006,253910.0,66.0,1.6,120000.0
2017,63242.0,85.0,1.2,300000.0
2017,63242.0,85.0,1.2,300000.0
2025,9033.0,110.0,2.0,2369000.0
2025,9033.0,110.0,2.0,2369000.0
2018,134502.0,110.0,2.0,350000.0
2018,134502.0,110.0,2.0,350000.0
2017,164670.0,132.0,2.0,270000.0
2017,164670.0,132.0,2.0,270000.0
2015,150170.0,140.0,2.0,300000.0
2015,150170.0,140.0,2.0,300000.0
2019,109714.0,100.0,1.6,410000.0
2019,109714.0,100.0,1.6,410000.0
2013,74937.0,97.0,1.6,310000.0
2013,74937.0,97.0,1.6,310000.0
2017,196073.0,85.0,1.6,200000.0
2017,196073.0,85.0,1.6,200000.0
2012,61511.0,60.0,1.2,270000.0
2012,61511.0,60.0,1.2,270000.0
2007,140260.0,81.0,1.5,150000.0
2007,140260.0,81.0,1.5,150000.0
2018,166701.0,206.0,2.0,400000.0
2018,166701.0,206.0,2.0,400000.0
2012,93932.0,108.0,1.8,250000.0
2012,93932.0,108.0,1.8,250000.0
2014,272182.0,103.0,2.0,200000.0
2014,272182.0,103.0,2.0,200000.0
2015,176019.0,81.0,1.6,450000.0
2015,176019.0,81.0,1.6,450000.0
2015,180663.0,81.0,1.6,130000.0
2015,180663.0,81.0,1.6,130000.0
2017,107620.0,110.0,2.0,450000.0
2017,107620.0,110.0,2.0,450000.0
2013,107052.0,92.0,1.6,60000.0
2013,107052.0,92.0,1.6,60000.0
2014,135939.0,85.0,1.6,300000.0
2014,135939.0,85.0,1.6,300000.0
2017,183795.0,135.0,2.0,500000.0
2017,183795.0,135.0,2.0,500000.0
2017,108422.0,97.0,1.2,60000.0
2017,108422.0,97.0,1.2,60000.0
2015,140044.0,85.0,1.6,250000.0
2015,140044.0,85.0,1.6,250000.0
2015,150803.0,63.0,1.4,210000.0
2015,150803.0,63.0,1.4,210000.0
2018,67203.0,103.0,1.4,350000.0
2018,67203.0,103.0,1.4,350000.0
2011,148715.0,77.0,1.2,170000.0
2011,148715.0,77.0,1.2,170000.0
2010,176790.0,74.0,1.6,150000.0
2010,176790.0,74.0,1.6,150000.0
2023,39752.0,88.0,1.0,310000.0
2023,39752.0,88.0,1.0,310000.0
2019,75827.0,60.0,1.2,150000.0
2019,75827.0,60.0,1.2,150000.0
2018,113204.0,85.0,1.6,250000.0
2018,113204.0,85.0,1.6,250000.0
2009,222520.0,120.0,2.2,245000.0
2009,222520.0,120.0,2.2,245000.0
2017,69875.0,136.0,1.5,200000.0
2017,69875.0,136.0,1.5,200000.0
2018,123561.0,110.0,1.5,310000.0
2018,123561.0,110.0,1.5,310000.0
2014,172643.0,110.0,2.0,300000.0
2014,172643.0,110.0,2.0,300000.0
2017,123425.0,110.0,2.0,210000.0
2017,123425.0,110.0,2.0,210000.0
2013,231317.0,77.0,1.6,210000.0
2013,231317.0,77.0,1.6,210000.0
2023,43892.0,147.0,2.0,220000.0
2023,43892.0,147.0,2.0,220000.0
2010,159530.0,120.0,2.0,400000.0
2010,159530.0,120.0,2.0,400000.0
2023,191520.0,84.0,1.5,410000.0
2023,191520.0,84.0,1.5,410000.0
2013,195625.0,135.0,2.0,400000.0
2013,195625.0,135.0,2.0,400000.0
2017,146511.0,88.0,1.6,200000.0
2017,146511.0,88.0,1.6,200000.0
2018,139126.0,191.0,2.0,400000.0
2018,139126.0,191.0,2.0,400000.0
2008,75640.0,81.0,1.2,400000.0
2008,75640.0,81.0,1.2,400000.0
2013,175416.0,120.0,2.0,850000.0
2013,175416.0,120.0,2.0,850000.0
2018,167350.0,154.0,2.0,1010000.0
2018,167350.0,154.0,2.0,1010000.0
2014,125440.0,77.0,1.2,310000.0
2014,125440.0,77.0,1.2,310000.0
2019,67126.0,130.0,1.6,230000.0
2019,67126.0,130.0,1.6,230000.0
2012,116274.0,82.0,1.6,260000.0
2012,116274.0,82.0,1.6,260000.0
2022,65163.0,74.0,1.0,250000.0
2022,65163.0,74.0,1.0,250000.0
2014,243077.0,103.0,2.0,310000.0
2014,243077.0,103.0,2.0,310000.0
2009,232436.0,96.0,1.9,180000.0
2009,232436.0,96.0,1.9,180000.0
2017,87250.0,96.0,1.2,300000.0
2017,87250.0,96.0,1.2,300000.0
2012,79098.0,77.0,1.2,210000.0
2012,79098.0,77.0,1.2,210000.0
2017,127857.0,133.0,2.0,410000.0
2017,127857.0,133.0,2.0,410000.0
2011,249886.0,120.0,2.0,120000.0
2011,249886.0,120.0,2.0,120000.0
2014,192082.0,68.0,1.6,200000.0
2014,192082.0,68.0,1.6,200000.0
2023,3996.0,96.0,1.2,11970.0
2013,189709.0,63.0,1.2,200000.0
2013,189709.0,63.0,1.2,200000.0
2015,144838.0,136.0,2.0,110000.0
2015,144838.0,136.0,2.0,110000.0
2024,13099.0,85.0,1.0,100000.0
2024,13099.0,85.0,1.0,100000.0
2019,119938.0,132.0,2.0,270000.0
2019,119938.0,132.0,2.0,270000.0
2010,126739.0,88.0,1.6,150000.0
2010,126739.0,88.0,1.6,150000.0
2021,22998.0,85.0,1.5,400000.0
2021,22998.0,85.0,1.5,400000.0
2019,165773.0,140.0,2.0,400000.0
2019,165773.0,140.0,2.0,400000.0
2018,136596.0,96.0,1.5,150000.0
2018,136596.0,96.0,1.5,150000.0
2017,125019.0,96.0,1.2,210000.0
2017,125019.0,96.0,1.2,210000.0
2015,98950.0,66.0,1.2,320000.0
2015,98950.0,66.0,1.2,320000.0
2008,151681.0,80.0,1.6,110000.0
2008,151681.0,80.0,1.6,110000.0
2010,125971.0,70.0,1.4,200000.0
2010,125971.0,70.0,1.4,200000.0
2013,214407.0,81.0,1.6,210000.0
2013,214407.0,81.0,1.6,210000.0
2016,148924.0,140.0,2.0,260000.0
2016,148924.0,140.0,2.0,260000.0
2013,103820.0,77.0,1.2,410000.0
2013,103820.0,77.0,1.2,410000.0
2015,185138.0,81.0,1.4,220000.0
2015,185138.0,81.0,1.4,220000.0
2019,117437.0,110.0,2.0,350000.0
2019,117437.0,110.0,2.0,350000.0
2019,168128.0,110.0,2.0,300000.0
2019,168128.0,110.0,2.0,300000.0
2016,97249.0,74.0,1.0,250000.0
2016,97249.0,74.0,1.0,250000.0
2009,177088.0,90.0,1.4,210000.0
2009,177088.0,90.0,1.4,210000.0
2015,190157.0,125.0,2.0,150000.0
2015,190157.0,125.0,2.0,150000.0
2023,68781.0,81.0,1.0,210000.0
2023,68781.0,81.0,1.0,210000.0
2020,66994.0,85.0,2.0,260000.0
2020,66994.0,85.0,2.0,260000.0
2021,95568.0,110.0,1.5,150000.0
2021,95568.0,110.0,1.5,150000.0
2013,113230.0,85.0,1.6,300000.0
2013,113230.0,85.0,1.6,300000.0
2013,97235.0,63.0,1.2,200000.0
2013,97235.0,63.0,1.2,200000.0
2014,139305.0,53.0,1.2,140000.0
2014,139305.0,53.0,1.2,140000.0
2018,142515.0,140.0,2.0,350000.0
2018,142515.0,140.0,2.0,350000.0
2025,6319.0,110.0,1.5,1149000.0
2025,6319.0,110.0,1.5,1149000.0
2022,111284.0,110.0,2.0,460000.0
2022,111284.0,110.0,2.0,460000.0
2020,165985.0,140.0,2.0,370000.0
2020,165985.0,140.0,2.0,370000.0
2005,189498.0,50.0,1.4,100000.0
2005,189498.0,50.0,1.4,100000.0
2017,150645.0,110.0,2.0,12370.0
2020,157745.0,85.0,2.0,100000.0
2020,157745.0,85.0,2.0,100000.0
2016,97550.0,110.0,2.0,200000.0
2016,97550.0,110.0,2.0,200000.0
2017,89796.0,81.0,1.2,300000.0
2017,89796.0,81.0,1.2,300000.0
2015,145690.0,130.0,1.6,320000.0
2015,145690.0,130.0,1.6,320000.0
2024,6180.0,110.0,1.5,1604000.0
2024,6180.0,110.0,1.5,1604000.0
2025,9435.0,142.0,2.0,3672000.0
2025,9435.0,142.0,2.0,3672000.0
2019,107213.0,110.0,1.5,230000.0
2019,107213.0,110.0,1.5,230000.0
2016,266903.0,81.0,1.6,150000.0
2016,266903.0,81.0,1.6,150000.0
2019,165064.0,88.0,1.5,280000.0
2019,165064.0,88.0,1.5,280000.0
2011,161510.0,85.0,1.7,150000.0
2011,161510.0,85.0,1.7,150000.0
2023,61528.0,81.0,1.0,250000.0
2023,61528.0,81.0,1.0,250000.0
2009,129905.0,103.0,1.4,100000.0
2009,129905.0,103.0,1.4,100000.0
2019,124809.0,110.0,2.0,300000.0
2019,124809.0,110.0,2.0,300000.0
2013,161994.0,77.0,1.6,150000.0
2013,161994.0,77.0,1.6,150000.0
2025,9204.0,110.0,2.0,2369000.0
2025,9204.0,110.0,2.0,2369000.0
2015,160878.0,103.0,1.4,100000.0
2015,160878.0,103.0,1.4,100000.0
2014,122022.0,77.0,1.6,400000.0
2014,122022.0,77.0,1.6,400000.0
2021,108919.0,110.0,1.6,250000.0
2021,108919.0,110.0,1.6,250000.0
2017,182104.0,140.0,2.0,350000.0
